# x, y, theta, v_l, v_r
149.52, 1515.69, 3.019, 99.90, 99.90
148.53, 1515.81, 3.019, 99.90, 99.90
147.54, 1515.93, 3.019, 99.90, 99.90
146.55, 1516.05, 3.019, 99.90, 99.90
145.56, 1516.17, 3.019, 99.90, 99.90
144.56, 1516.30, 3.019, 99.90, 99.90
143.57, 1516.42, 3.019, 99.90, 99.90
142.58, 1516.54, 3.019, 99.90, 99.90
141.59, 1516.66, 3.019, 99.90, 99.90
140.60, 1516.78, 3.019, 99.90, 99.90
139.61, 1516.90, 3.019, 99.90, 99.90
138.61, 1517.03, 3.019, 99.90, 99.90
137.62, 1517.15, 3.019, 99.90, 99.90
136.63, 1517.27, 3.019, 99.90, 99.90
135.64, 1517.39, 3.019, 99.90, 99.90
134.65, 1517.51, 3.019, 99.90, 99.90
133.66, 1517.63, 3.019, 99.90, 99.90
132.66, 1517.76, 3.019, 99.90, 99.90
131.67, 1517.88, 3.019, 99.90, 99.90
130.68, 1518.00, 3.019, 99.90, 99.90
129.69, 1518.12, 3.019, 99.90, 99.90
128.70, 1518.24, 3.019, 99.90, 99.90
127.71, 1518.36, 3.019, 99.90, 99.90
126.72, 1518.49, 3.019, 99.90, 99.90
125.72, 1518.61, 3.019, 99.90, 99.90
124.73, 1518.73, 3.019, 99.90, 99.90
123.74, 1518.85, 3.019, 99.90, 99.90
122.75, 1518.97, 3.019, 99.90, 99.90
121.76, 1519.09, 3.019, 99.90, 99.90
120.77, 1519.22, 3.019, 99.90, 99.90
119.77, 1519.34, 3.019, 99.90, 99.90
118.78, 1519.46, 3.019, 99.90, 99.90
117.79, 1519.58, 3.019, 99.90, 99.90
117.06, 1519.13, -2.763, 49.85, 99.90
116.13, 1518.76, -2.763, 99.90, 99.90
115.20, 1518.40, -2.763, 99.90, 99.90
114.27, 1518.03, -2.763, 99.90, 99.90
113.34, 1517.66, -2.763, 99.90, 99.90
112.41, 1517.29, -2.763, 99.90, 99.90
111.49, 1516.92, -2.763, 99.90, 99.90
110.56, 1516.55, -2.763, 99.90, 99.90
109.63, 1516.18, -2.763, 99.90, 99.90
108.70, 1515.81, -2.763, 99.90, 99.90
107.77, 1515.44, -2.763, 99.90, 99.90
106.84, 1515.07, -2.763, 99.90, 99.90
105.92, 1514.71, -2.763, 99.90, 99.90
104.99, 1514.34, -2.763, 99.90, 99.90
104.06, 1513.97, -2.763, 99.90, 99.90
103.13, 1513.60, -2.763, 99.90, 99.90
102.20, 1513.23, -2.763, 99.90, 99.90
101.27, 1512.86, -2.763, 99.90, 99.90
100.35, 1512.49, -2.763, 99.90, 99.90
99.42, 1512.12, -2.763, 99.90, 99.90
98.49, 1511.75, -2.763, 99.90, 99.90
97.56, 1511.38, -2.763, 99.90, 99.90
96.83, 1511.65, 3.010, 99.90, 48.88
95.84, 1511.78, 3.010, 99.90, 99.90
94.85, 1511.91, 3.010, 99.90, 99.90
93.86, 1512.04, 3.010, 99.90, 99.90
92.87, 1512.18, 3.010, 99.90, 99.90
91.88, 1512.31, 3.010, 99.90, 99.90
90.89, 1512.44, 3.010, 99.90, 99.90
89.90, 1512.57, 3.010, 99.90, 99.90
88.91, 1512.70, 3.010, 99.90, 99.90
87.92, 1512.83, 3.010, 99.90, 99.90
86.93, 1512.96, 3.010, 99.90, 99.90
85.94, 1513.10, 3.010, 99.90, 99.90
84.95, 1513.23, 3.010, 99.90, 99.90
83.96, 1513.36, 3.010, 99.90, 99.90
82.97, 1513.49, 3.010, 99.90, 99.90
81.98, 1513.62, 3.010, 99.90, 99.90
80.98, 1513.75, 3.010, 99.90, 99.90
79.99, 1513.88, 3.010, 99.90, 99.90
79.00, 1514.01, 3.010, 99.90, 99.90
78.01, 1514.15, 3.010, 99.90, 99.90
77.02, 1514.28, 3.010, 99.90, 99.90
76.03, 1514.41, 3.010, 99.90, 99.90
75.04, 1514.54, 3.010, 99.90, 99.90
74.05, 1514.67, 3.010, 99.90, 99.90
73.06, 1514.80, 3.010, 99.90, 99.90
72.07, 1514.93, 3.010, 99.90, 99.90
71.08, 1515.07, 3.010, 99.90, 99.90
70.09, 1515.20, 3.010, 99.90, 99.90
69.10, 1515.33, 3.010, 99.90, 99.90
68.11, 1515.46, 3.010, 99.90, 99.90
67.12, 1515.59, 3.010, 99.90, 99.90
66.13, 1515.72, 3.010, 99.90, 99.90
65.14, 1515.85, 3.010, 99.90, 99.90
64.15, 1515.99, 3.010, 99.90, 99.90
63.16, 1516.12, 3.010, 99.90, 99.90
62.17, 1516.25, 3.010, 99.90, 99.90
61.18, 1516.38, 3.010, 99.90, 99.90
60.19, 1516.51, 3.010, 99.90, 99.90
59.20, 1516.64, 3.010, 99.90, 99.90
58.21, 1516.77, 3.010, 99.90, 99.90
57.22, 1516.91, 3.010, 99.90, 99.90
56.23, 1517.04, 3.010, 99.90, 99.90
55.24, 1517.17, 3.010, 99.90, 99.90
54.25, 1517.30, 3.010, 99.90, 99.90
53.26, 1517.43, 3.010, 99.90, 99.90
52.26, 1517.56, 3.010, 99.90, 99.90
51.27, 1517.69, 3.010, 99.90, 99.90
50.28, 1517.82, 3.010, 99.90, 99.90
49.29, 1517.96, 3.010, 99.90, 99.90
48.30, 1518.09, 3.010, 99.90, 99.90
47.31, 1518.22, 3.010, 99.90, 99.90
46.32, 1518.35, 3.010, 99.90, 99.90
45.33, 1518.48, 3.010, 99.90, 99.90
44.34, 1518.61, 3.010, 99.90, 99.90
43.35, 1518.74, 3.010, 99.90, 99.90
42.36, 1518.88, 3.010, 99.90, 99.90
41.37, 1519.01, 3.010, 99.90, 99.90
40.38, 1519.14, 3.010, 99.90, 99.90
39.39, 1519.27, 3.010, 99.90, 99.90
38.40, 1519.40, 3.010, 99.90, 99.90
37.41, 1519.53, 3.010, 99.90, 99.90
36.67, 1519.09, -2.773, 49.85, 99.90
36.07, 1518.37, -2.273, 49.85, 99.90
35.47, 1518.24, -2.783, 99.90, 48.88
34.53, 1517.89, -2.783, 99.90, 99.90
33.60, 1517.54, -2.783, 99.90, 99.90
32.66, 1517.19, -2.783, 99.90, 99.90
31.73, 1516.84, -2.783, 99.90, 99.90
30.79, 1516.49, -2.783, 99.90, 99.90
29.86, 1516.14, -2.783, 99.90, 99.90
28.92, 1515.79, -2.783, 99.90, 99.90
28.19, 1516.07, 2.990, 99.90, 48.88
27.51, 1516.69, 2.490, 99.90, 49.85
26.71, 1517.29, 2.490, 99.90, 99.90
25.92, 1517.90, 2.490, 99.90, 99.90
25.12, 1518.50, 2.490, 99.90, 99.90
24.33, 1519.11, 2.490, 99.90, 99.90
23.54, 1519.72, 2.490, 99.90, 99.90
22.74, 1520.32, 2.490, 99.90, 99.90
21.95, 1520.93, 2.490, 99.90, 99.90
21.49, 1521.73, 1.979, 99.90, 48.88
21.10, 1522.65, 1.979, 99.90, 99.90
20.70, 1523.56, 1.979, 99.90, 99.90
20.30, 1524.48, 1.979, 99.90, 99.90
19.91, 1525.40, 1.979, 99.90, 99.90
19.51, 1526.31, 1.979, 99.90, 99.90
19.11, 1527.23, 1.979, 99.90, 99.90
18.72, 1528.15, 1.979, 99.90, 99.90
18.32, 1529.06, 1.979, 99.90, 99.90
17.92, 1529.98, 1.979, 99.90, 99.90
17.53, 1530.90, 1.979, 99.90, 99.90
17.13, 1531.81, 1.979, 99.90, 99.90
16.73, 1532.73, 1.979, 99.90, 99.90
16.33, 1533.65, 1.979, 99.90, 99.90
15.94, 1534.56, 1.979, 99.90, 99.90
15.54, 1535.48, 1.979, 99.90, 99.90
15.14, 1536.40, 1.979, 99.90, 99.90
14.75, 1537.31, 1.979, 99.90, 99.90
14.35, 1538.23, 1.979, 99.90, 99.90
13.95, 1539.15, 1.979, 99.90, 99.90
13.56, 1540.06, 1.979, 99.90, 99.90
13.16, 1540.98, 1.979, 99.90, 99.90
13.05, 1541.76, 1.469, 99.90, 48.88
13.30, 1542.34, 0.969, 99.90, 49.85
13.87, 1543.16, 0.969, 99.90, 99.90
14.43, 1543.98, 0.969, 99.90, 99.90
15.00, 1544.81, 0.969, 99.90, 99.90
15.57, 1545.63, 0.969, 99.90, 99.90
16.13, 1546.45, 0.969, 99.90, 99.90
16.70, 1547.28, 0.969, 99.90, 99.90
17.26, 1548.10, 0.969, 99.90, 99.90
17.83, 1548.92, 0.969, 99.90, 99.90
18.39, 1549.75, 0.969, 99.90, 99.90
18.96, 1550.57, 0.969, 99.90, 99.90
19.53, 1551.39, 0.969, 99.90, 99.90
19.78, 1552.21, 1.479, 48.88, 99.90
19.87, 1553.20, 1.479, 99.90, 99.90
19.96, 1554.20, 1.479, 99.90, 99.90
20.05, 1555.19, 1.479, 99.90, 99.90
20.14, 1556.19, 1.479, 99.90, 99.90
20.24, 1557.18, 1.479, 99.90, 99.90
20.33, 1558.18, 1.479, 99.90, 99.90
20.42, 1559.17, 1.479, 99.90, 99.90
20.51, 1560.17, 1.479, 99.90, 99.90
20.60, 1561.16, 1.479, 99.90, 99.90
20.69, 1562.16, 1.479, 99.90, 99.90
20.79, 1563.15, 1.479, 99.90, 99.90
20.88, 1564.14, 1.479, 99.90, 99.90
20.97, 1565.14, 1.479, 99.90, 99.90
20.85, 1565.81, 1.989, 48.88, 99.90
20.39, 1566.17, 2.490, 49.85, 99.90
19.60, 1566.77, 2.490, 99.90, 99.90
18.81, 1567.39, 2.480, 99.90, 98.92
18.36, 1568.19, 1.970, 99.90, 48.88
17.97, 1569.11, 1.970, 99.90, 99.90
17.58, 1570.03, 1.970, 99.90, 99.90
17.20, 1570.95, 1.970, 99.90, 99.90
16.81, 1571.87, 1.970, 99.90, 99.90
16.42, 1572.79, 1.970, 99.90, 99.90
16.03, 1573.72, 1.970, 99.90, 99.90
15.64, 1574.64, 1.970, 99.90, 99.90
15.26, 1575.56, 1.970, 99.90, 99.90
14.87, 1576.48, 1.970, 99.90, 99.90
14.48, 1577.40, 1.970, 99.90, 99.90
14.09, 1578.32, 1.970, 99.90, 99.90
13.70, 1579.24, 1.970, 99.90, 99.90
13.32, 1580.16, 1.970, 99.90, 99.90
12.93, 1581.08, 1.970, 99.90, 99.90
12.82, 1581.86, 1.459, 99.90, 48.88
12.93, 1582.85, 1.459, 99.90, 99.90
13.05, 1583.85, 1.459, 99.90, 99.90
13.16, 1584.84, 1.459, 99.90, 99.90
13.27, 1585.83, 1.459, 99.90, 99.90
13.38, 1586.82, 1.459, 99.90, 99.90
13.49, 1587.82, 1.459, 99.90, 99.90
13.60, 1588.81, 1.459, 99.90, 99.90
13.71, 1589.80, 1.459, 99.90, 99.90
13.82, 1590.80, 1.459, 99.90, 99.90
13.93, 1591.79, 1.459, 99.90, 99.90
14.05, 1592.78, 1.459, 99.90, 99.90
14.16, 1593.77, 1.459, 99.90, 99.90
14.27, 1594.77, 1.459, 99.90, 99.90
14.38, 1595.76, 1.459, 99.90, 99.90
14.49, 1596.75, 1.459, 99.90, 99.90
14.60, 1597.75, 1.459, 99.90, 99.90
14.71, 1598.74, 1.459, 99.90, 99.90
14.82, 1599.73, 1.459, 99.90, 99.90
14.93, 1600.72, 1.459, 99.90, 99.90
15.05, 1601.72, 1.459, 99.90, 99.90
15.16, 1602.71, 1.459, 99.90, 99.90
15.27, 1603.70, 1.459, 99.90, 99.90
15.38, 1604.70, 1.459, 99.90, 99.90
15.49, 1605.69, 1.459, 99.90, 99.90
15.60, 1606.68, 1.459, 99.90, 99.90
15.71, 1607.67, 1.459, 99.90, 99.90
15.82, 1608.67, 1.459, 99.90, 99.90
15.93, 1609.66, 1.459, 99.90, 99.90
16.05, 1610.65, 1.459, 99.90, 99.90
16.16, 1611.65, 1.459, 99.90, 99.90
16.27, 1612.64, 1.459, 99.90, 99.90
16.38, 1613.63, 1.459, 99.90, 99.90
16.49, 1614.62, 1.459, 99.90, 99.90
16.60, 1615.62, 1.459, 99.90, 99.90
16.71, 1616.61, 1.459, 99.90, 99.90
16.82, 1617.60, 1.459, 99.90, 99.90
16.93, 1618.59, 1.459, 99.90, 99.90
17.05, 1619.59, 1.459, 99.90, 99.90
17.16, 1620.58, 1.459, 99.90, 99.90
17.27, 1621.57, 1.459, 99.90, 99.90
17.38, 1622.57, 1.459, 99.90, 99.90
17.49, 1623.56, 1.459, 99.90, 99.90
17.60, 1624.55, 1.459, 99.90, 99.90
17.71, 1625.54, 1.459, 99.90, 99.90
17.82, 1626.54, 1.459, 99.90, 99.90
17.93, 1627.53, 1.459, 99.90, 99.90
18.05, 1628.52, 1.459, 99.90, 99.90
18.16, 1629.52, 1.459, 99.90, 99.90
18.27, 1630.51, 1.459, 99.90, 99.90
18.38, 1631.50, 1.459, 99.90, 99.90
18.49, 1632.49, 1.459, 99.90, 99.90
18.60, 1633.49, 1.459, 99.90, 99.90
18.71, 1634.48, 1.459, 99.90, 99.90
18.82, 1635.47, 1.459, 99.90, 99.90
18.93, 1636.47, 1.459, 99.90, 99.90
19.05, 1637.46, 1.459, 99.90, 99.90
19.16, 1638.45, 1.459, 99.90, 99.90
19.27, 1639.44, 1.459, 99.90, 99.90
19.38, 1640.44, 1.459, 99.90, 99.90
19.49, 1641.43, 1.459, 99.90, 99.90
19.60, 1642.42, 1.459, 99.90, 99.90
19.71, 1643.42, 1.459, 99.90, 99.90
19.82, 1644.41, 1.459, 99.90, 99.90
19.93, 1645.40, 1.459, 99.90, 99.90
20.04, 1646.39, 1.459, 99.90, 99.90
20.16, 1647.39, 1.459, 99.90, 99.90
20.27, 1648.38, 1.459, 99.90, 99.90
20.38, 1649.37, 1.459, 99.90, 99.90
20.49, 1650.37, 1.459, 99.90, 99.90
20.60, 1651.36, 1.459, 99.90, 99.90
20.71, 1652.35, 1.459, 99.90, 99.90
20.82, 1653.34, 1.459, 99.90, 99.90
20.93, 1654.33, 1.469, 98.92, 99.90
21.03, 1655.33, 1.469, 99.90, 99.90
20.92, 1656.01, 1.970, 49.85, 99.90
20.53, 1656.93, 1.970, 99.90, 99.90
20.14, 1657.85, 1.970, 99.90, 99.90
19.76, 1658.77, 1.970, 99.90, 99.90
19.37, 1659.69, 1.970, 99.90, 99.90
18.98, 1660.61, 1.970, 99.90, 99.90
18.59, 1661.53, 1.970, 99.90, 99.90
18.20, 1662.45, 1.970, 99.90, 99.90
17.82, 1663.37, 1.970, 99.90, 99.90
17.43, 1664.29, 1.970, 99.90, 99.90
17.04, 1665.21, 1.970, 99.90, 99.90
16.65, 1666.13, 1.970, 99.90, 99.90
16.26, 1667.05, 1.970, 99.90, 99.90
15.88, 1667.98, 1.970, 99.90, 99.90
15.49, 1668.90, 1.970, 99.90, 99.90
15.10, 1669.82, 1.970, 99.90, 99.90
14.71, 1670.74, 1.970, 99.90, 99.90
14.32, 1671.66, 1.970, 99.90, 99.90
13.94, 1672.58, 1.970, 99.90, 99.90
13.55, 1673.50, 1.970, 99.90, 99.90
13.16, 1674.42, 1.970, 99.90, 99.90
13.06, 1675.20, 1.459, 99.90, 48.88
13.17, 1676.19, 1.459, 99.90, 99.90
13.28, 1677.18, 1.459, 99.90, 99.90
13.39, 1678.18, 1.459, 99.90, 99.90
13.50, 1679.17, 1.459, 99.90, 99.90
13.61, 1680.16, 1.459, 99.90, 99.90
13.72, 1681.16, 1.459, 99.90, 99.90
13.83, 1682.15, 1.459, 99.90, 99.90
13.94, 1683.14, 1.459, 99.90, 99.90
14.06, 1684.13, 1.459, 99.90, 99.90
14.17, 1685.13, 1.459, 99.90, 99.90
14.28, 1686.12, 1.459, 99.90, 99.90
14.39, 1687.11, 1.459, 99.90, 99.90
14.50, 1688.11, 1.459, 99.90, 99.90
14.61, 1689.10, 1.459, 99.90, 99.90
14.72, 1690.09, 1.459, 99.90, 99.90
14.83, 1691.08, 1.459, 99.90, 99.90
14.94, 1692.08, 1.459, 99.90, 99.90
15.06, 1693.07, 1.459, 99.90, 99.90
15.17, 1694.06, 1.459, 99.90, 99.90
15.28, 1695.06, 1.459, 99.90, 99.90
15.39, 1696.05, 1.459, 99.90, 99.90
15.50, 1697.04, 1.459, 99.90, 99.90
15.61, 1698.03, 1.459, 99.90, 99.90
15.72, 1699.03, 1.459, 99.90, 99.90
15.83, 1700.02, 1.459, 99.90, 99.90
15.94, 1701.01, 1.459, 99.90, 99.90
16.06, 1702.01, 1.459, 99.90, 99.90
16.17, 1703.00, 1.459, 99.90, 99.90
16.28, 1703.99, 1.459, 99.90, 99.90
16.39, 1704.98, 1.459, 99.90, 99.90
16.50, 1705.98, 1.459, 99.90, 99.90
16.61, 1706.97, 1.459, 99.90, 99.90
16.72, 1707.96, 1.459, 99.90, 99.90
16.83, 1708.96, 1.459, 99.90, 99.90
16.94, 1709.95, 1.459, 99.90, 99.90
17.06, 1710.94, 1.459, 99.90, 99.90
17.17, 1711.93, 1.459, 99.90, 99.90
17.28, 1712.93, 1.459, 99.90, 99.90
17.39, 1713.92, 1.459, 99.90, 99.90
17.50, 1714.91, 1.459, 99.90, 99.90
17.61, 1715.91, 1.459, 99.90, 99.90
17.72, 1716.90, 1.459, 99.90, 99.90
17.83, 1717.89, 1.459, 99.90, 99.90
17.94, 1718.88, 1.459, 99.90, 99.90
18.05, 1719.88, 1.459, 99.90, 99.90
18.17, 1720.87, 1.459, 99.90, 99.90
18.28, 1721.86, 1.459, 99.90, 99.90
18.39, 1722.85, 1.459, 99.90, 99.90
18.50, 1723.85, 1.459, 99.90, 99.90
18.61, 1724.84, 1.459, 99.90, 99.90
18.72, 1725.83, 1.459, 99.90, 99.90
18.83, 1726.83, 1.459, 99.90, 99.90
18.94, 1727.82, 1.459, 99.90, 99.90
19.05, 1728.81, 1.459, 99.90, 99.90
19.17, 1729.80, 1.459, 99.90, 99.90
19.28, 1730.80, 1.459, 99.90, 99.90
19.39, 1731.79, 1.459, 99.90, 99.90
19.50, 1732.78, 1.459, 99.90, 99.90
19.61, 1733.78, 1.459, 99.90, 99.90
19.72, 1734.77, 1.459, 99.90, 99.90
19.83, 1735.76, 1.459, 99.90, 99.90
19.94, 1736.75, 1.459, 99.90, 99.90
20.05, 1737.75, 1.459, 99.90, 99.90
20.17, 1738.74, 1.459, 99.90, 99.90
20.28, 1739.73, 1.459, 99.90, 99.90
20.39, 1740.73, 1.459, 99.90, 99.90
20.50, 1741.72, 1.459, 99.90, 99.90
20.61, 1742.71, 1.459, 99.90, 99.90
20.72, 1743.70, 1.459, 99.90, 99.90
20.83, 1744.70, 1.459, 99.90, 99.90
20.94, 1745.69, 1.459, 99.90, 99.90
21.05, 1746.68, 1.469, 98.92, 99.90
21.15, 1747.67, 1.469, 99.90, 99.90
21.04, 1748.35, 1.970, 49.85, 99.90
20.59, 1748.73, 2.470, 49.85, 99.90
20.15, 1749.53, 1.960, 99.90, 48.88
19.77, 1750.46, 1.960, 99.90, 99.90
19.33, 1750.84, 2.460, 49.85, 99.90
18.89, 1751.65, 1.950, 99.90, 48.88
18.52, 1752.57, 1.950, 99.90, 99.90
18.15, 1753.50, 1.950, 99.90, 99.90
17.78, 1754.43, 1.950, 99.90, 99.90
17.41, 1755.36, 1.950, 99.90, 99.90
17.04, 1756.29, 1.950, 99.90, 99.90
16.67, 1757.21, 1.950, 99.90, 99.90
16.30, 1758.14, 1.950, 99.90, 99.90
15.93, 1759.07, 1.950, 99.90, 99.90
15.56, 1760.00, 1.950, 99.90, 99.90
15.20, 1760.93, 1.950, 99.90, 99.90
14.83, 1761.85, 1.950, 99.90, 99.90
14.46, 1762.78, 1.950, 99.90, 99.90
14.09, 1763.71, 1.950, 99.90, 99.90
13.72, 1764.64, 1.950, 99.90, 99.90
13.35, 1765.57, 1.950, 99.90, 99.90
12.98, 1766.49, 1.950, 99.90, 99.90
12.61, 1767.42, 1.950, 99.90, 99.90
12.24, 1768.35, 1.950, 99.90, 99.90
12.14, 1769.12, 1.440, 99.90, 48.88
12.28, 1770.12, 1.440, 99.90, 99.90
12.41, 1771.11, 1.440, 99.90, 99.90
12.54, 1772.10, 1.440, 99.90, 99.90
12.67, 1773.09, 1.440, 99.90, 99.90
12.80, 1774.08, 1.440, 99.90, 99.90
12.93, 1775.07, 1.440, 99.90, 99.90
13.06, 1776.06, 1.440, 99.90, 99.90
13.19, 1777.05, 1.440, 99.90, 99.90
13.32, 1778.04, 1.440, 99.90, 99.90
13.45, 1779.03, 1.440, 99.90, 99.90
13.58, 1780.02, 1.440, 99.90, 99.90
13.71, 1781.01, 1.440, 99.90, 99.90
13.84, 1782.00, 1.440, 99.90, 99.90
13.97, 1782.99, 1.440, 99.90, 99.90
14.10, 1783.98, 1.440, 99.90, 99.90
14.23, 1784.97, 1.440, 99.90, 99.90
14.36, 1785.96, 1.440, 99.90, 99.90
14.49, 1786.95, 1.440, 99.90, 99.90
14.62, 1787.94, 1.440, 99.90, 99.90
14.75, 1788.93, 1.440, 99.90, 99.90
14.89, 1789.92, 1.440, 99.90, 99.90
15.02, 1790.92, 1.440, 99.90, 99.90
15.15, 1791.91, 1.440, 99.90, 99.90
15.28, 1792.90, 1.440, 99.90, 99.90
15.41, 1793.89, 1.440, 99.90, 99.90
15.54, 1794.88, 1.440, 99.90, 99.90
15.67, 1795.87, 1.440, 99.90, 99.90
15.80, 1796.86, 1.440, 99.90, 99.90
15.93, 1797.85, 1.440, 99.90, 99.90
16.06, 1798.84, 1.440, 99.90, 99.90
16.19, 1799.83, 1.440, 99.90, 99.90
16.32, 1800.82, 1.440, 99.90, 99.90
16.45, 1801.81, 1.440, 99.90, 99.90
16.58, 1802.80, 1.440, 99.90, 99.90
16.71, 1803.79, 1.440, 99.90, 99.90
16.84, 1804.78, 1.440, 99.90, 99.90
16.97, 1805.77, 1.440, 99.90, 99.90
17.10, 1806.76, 1.440, 99.90, 99.90
17.23, 1807.75, 1.440, 99.90, 99.90
17.36, 1808.74, 1.440, 99.90, 99.90
17.49, 1809.73, 1.440, 99.90, 99.90
17.63, 1810.72, 1.440, 99.90, 99.90
17.76, 1811.71, 1.440, 99.90, 99.90
17.89, 1812.71, 1.440, 99.90, 99.90
18.02, 1813.70, 1.440, 99.90, 99.90
18.15, 1814.69, 1.440, 99.90, 99.90
18.28, 1815.68, 1.440, 99.90, 99.90
18.41, 1816.67, 1.440, 99.90, 99.90
18.54, 1817.66, 1.440, 99.90, 99.90
18.67, 1818.65, 1.440, 99.90, 99.90
18.80, 1819.64, 1.440, 99.90, 99.90
18.93, 1820.63, 1.440, 99.90, 99.90
19.06, 1821.62, 1.440, 99.90, 99.90
19.19, 1822.61, 1.440, 99.90, 99.90
19.32, 1823.60, 1.440, 99.90, 99.90
19.45, 1824.59, 1.440, 99.90, 99.90
19.58, 1825.58, 1.440, 99.90, 99.90
19.71, 1826.57, 1.440, 99.90, 99.90
19.84, 1827.56, 1.440, 99.90, 99.90
19.97, 1828.55, 1.440, 99.90, 99.90
20.10, 1829.54, 1.440, 99.90, 99.90
20.23, 1830.53, 1.440, 99.90, 99.90
20.37, 1831.52, 1.440, 99.90, 99.90
20.50, 1832.51, 1.440, 99.90, 99.90
20.63, 1833.51, 1.440, 99.90, 99.90
20.54, 1834.20, 1.940, 49.85, 99.90
20.18, 1835.13, 1.940, 99.90, 99.90
19.82, 1836.06, 1.940, 99.90, 99.90
19.39, 1836.46, 2.441, 49.85, 99.90
18.96, 1837.27, 1.931, 99.90, 48.88
18.61, 1838.20, 1.931, 99.90, 99.90
18.26, 1839.14, 1.931, 99.90, 99.90
17.91, 1840.07, 1.931, 99.90, 99.90
17.56, 1841.01, 1.931, 99.90, 99.90
17.20, 1841.94, 1.931, 99.90, 99.90
16.85, 1842.88, 1.931, 99.90, 99.90
16.50, 1843.81, 1.931, 99.90, 99.90
16.15, 1844.75, 1.931, 99.90, 99.90
15.80, 1845.68, 1.931, 99.90, 99.90
15.45, 1846.62, 1.931, 99.90, 99.90
15.09, 1847.55, 1.931, 99.90, 99.90
14.74, 1848.49, 1.931, 99.90, 99.90
14.39, 1849.42, 1.931, 99.90, 99.90
14.04, 1850.36, 1.931, 99.90, 99.90
13.69, 1851.29, 1.931, 99.90, 99.90
13.33, 1852.23, 1.931, 99.90, 99.90
12.98, 1853.16, 1.931, 99.90, 99.90
12.63, 1854.10, 1.931, 99.90, 99.90
12.28, 1855.03, 1.931, 99.90, 99.90
11.93, 1855.97, 1.931, 99.90, 99.90
11.58, 1856.90, 1.931, 99.90, 99.90
11.22, 1857.84, 1.931, 99.90, 99.90
11.15, 1858.61, 1.420, 99.90, 48.88
11.30, 1859.60, 1.420, 99.90, 99.90
11.45, 1860.58, 1.420, 99.90, 99.90
11.60, 1861.57, 1.420, 99.90, 99.90
11.75, 1862.56, 1.420, 99.90, 99.90
11.90, 1863.55, 1.420, 99.90, 99.90
12.05, 1864.53, 1.420, 99.90, 99.90
12.20, 1865.52, 1.420, 99.90, 99.90
12.35, 1866.51, 1.420, 99.90, 99.90
12.50, 1867.50, 1.420, 99.90, 99.90
12.65, 1868.48, 1.420, 99.90, 99.90
12.80, 1869.47, 1.420, 99.90, 99.90
12.95, 1870.46, 1.420, 99.90, 99.90
13.10, 1871.45, 1.420, 99.90, 99.90
13.25, 1872.44, 1.420, 99.90, 99.90
13.40, 1873.42, 1.420, 99.90, 99.90
13.55, 1874.41, 1.420, 99.90, 99.90
13.70, 1875.40, 1.420, 99.90, 99.90
13.84, 1876.39, 1.420, 99.90, 99.90
13.99, 1877.37, 1.420, 99.90, 99.90
14.14, 1878.36, 1.420, 99.90, 99.90
14.29, 1879.35, 1.420, 99.90, 99.90
14.44, 1880.34, 1.420, 99.90, 99.90
14.59, 1881.33, 1.420, 99.90, 99.90
14.74, 1882.31, 1.420, 99.90, 99.90
14.89, 1883.30, 1.420, 99.90, 99.90
15.04, 1884.29, 1.420, 99.90, 99.90
15.19, 1885.28, 1.420, 99.90, 99.90
15.34, 1886.26, 1.420, 99.90, 99.90
15.49, 1887.25, 1.420, 99.90, 99.90
15.64, 1888.24, 1.420, 99.90, 99.90
15.79, 1889.23, 1.420, 99.90, 99.90
15.94, 1890.21, 1.420, 99.90, 99.90
16.09, 1891.20, 1.420, 99.90, 99.90
16.24, 1892.19, 1.420, 99.90, 99.90
16.39, 1893.18, 1.420, 99.90, 99.90
16.54, 1894.17, 1.420, 99.90, 99.90
16.69, 1895.15, 1.420, 99.90, 99.90
16.84, 1896.14, 1.420, 99.90, 99.90
16.99, 1897.13, 1.420, 99.90, 99.90
17.14, 1898.12, 1.420, 99.90, 99.90
17.29, 1899.10, 1.420, 99.90, 99.90
17.44, 1900.09, 1.420, 99.90, 99.90
17.59, 1901.08, 1.420, 99.90, 99.90
17.74, 1902.07, 1.420, 99.90, 99.90
17.89, 1903.06, 1.420, 99.90, 99.90
18.04, 1904.04, 1.420, 99.90, 99.90
18.19, 1905.03, 1.420, 99.90, 99.90
18.34, 1906.02, 1.420, 99.90, 99.90
18.49, 1907.01, 1.420, 99.90, 99.90
18.64, 1907.99, 1.420, 99.90, 99.90
18.79, 1908.98, 1.420, 99.90, 99.90
18.94, 1909.97, 1.420, 99.90, 99.90
19.09, 1910.96, 1.420, 99.90, 99.90
19.24, 1911.94, 1.420, 99.90, 99.90
19.39, 1912.93, 1.420, 99.90, 99.90
19.54, 1913.92, 1.420, 99.90, 99.90
19.69, 1914.91, 1.420, 99.90, 99.90
19.84, 1915.90, 1.420, 99.90, 99.90
19.99, 1916.88, 1.420, 99.90, 99.90
20.14, 1917.87, 1.420, 99.90, 99.90
20.29, 1918.86, 1.420, 99.90, 99.90
20.44, 1919.85, 1.420, 99.90, 99.90
20.59, 1920.83, 1.420, 99.90, 99.90
20.74, 1921.82, 1.420, 99.90, 99.90
20.89, 1922.81, 1.420, 99.90, 99.90
21.04, 1923.80, 1.420, 99.90, 99.90
20.96, 1924.49, 1.931, 48.88, 99.90
20.54, 1924.90, 2.431, 49.85, 99.90
