# x, y, theta, v_l, v_r
15.50, 364.63, 1.420, 99.90, 99.90
15.65, 365.62, 1.420, 99.90, 99.90
15.80, 366.61, 1.420, 99.90, 99.90
15.95, 367.60, 1.420, 99.90, 99.90
16.10, 368.58, 1.420, 99.90, 99.90
16.25, 369.57, 1.420, 99.90, 99.90
16.40, 370.56, 1.420, 99.90, 99.90
16.55, 371.55, 1.420, 99.90, 99.90
16.70, 372.54, 1.420, 99.90, 99.90
16.85, 373.52, 1.420, 99.90, 99.90
17.00, 374.51, 1.420, 99.90, 99.90
17.15, 375.50, 1.420, 99.90, 99.90
17.30, 376.49, 1.420, 99.90, 99.90
17.45, 377.47, 1.420, 99.90, 99.90
17.60, 378.46, 1.420, 99.90, 99.90
17.75, 379.45, 1.420, 99.90, 99.90
17.90, 380.44, 1.420, 99.90, 99.90
18.05, 381.43, 1.420, 99.90, 99.90
18.20, 382.41, 1.420, 99.90, 99.90
18.35, 383.40, 1.420, 99.90, 99.90
18.50, 384.39, 1.420, 99.90, 99.90
18.65, 385.38, 1.420, 99.90, 99.90
18.80, 386.36, 1.420, 99.90, 99.90
18.95, 387.35, 1.420, 99.90, 99.90
19.10, 388.34, 1.420, 99.90, 99.90
19.25, 389.33, 1.420, 99.90, 99.90
19.40, 390.31, 1.420, 99.90, 99.90
19.55, 391.30, 1.420, 99.90, 99.90
19.70, 392.29, 1.420, 99.90, 99.90
19.85, 393.28, 1.420, 99.90, 99.90
20.00, 394.27, 1.420, 99.90, 99.90
20.15, 395.25, 1.420, 99.90, 99.90
20.30, 396.24, 1.420, 99.90, 99.90
20.45, 397.23, 1.420, 99.90, 99.90
20.60, 398.22, 1.420, 99.90, 99.90
20.75, 399.20, 1.420, 99.90, 99.90
20.90, 400.19, 1.420, 99.90, 99.90
21.05, 401.18, 1.420, 99.90, 99.90
20.97, 401.88, 1.921, 49.85, 99.90
20.55, 402.28, 2.431, 48.88, 99.90
19.80, 402.94, 2.421, 99.90, 98.92
19.05, 403.60, 2.421, 99.90, 99.90
18.30, 404.26, 2.421, 99.90, 99.90
17.89, 405.07, 1.911, 99.90, 48.88
17.56, 406.01, 1.911, 99.90, 99.90
17.22, 406.95, 1.911, 99.90, 99.90
16.89, 407.90, 1.911, 99.90, 99.90
16.56, 408.84, 1.911, 99.90, 99.90
16.22, 409.78, 1.911, 99.90, 99.90
15.89, 410.72, 1.911, 99.90, 99.90
15.56, 411.66, 1.911, 99.90, 99.90
15.22, 412.60, 1.911, 99.90, 99.90
14.89, 413.55, 1.911, 99.90, 99.90
14.56, 414.49, 1.911, 99.90, 99.90
14.22, 415.43, 1.911, 99.90, 99.90
13.89, 416.37, 1.911, 99.90, 99.90
13.56, 417.31, 1.911, 99.90, 99.90
13.22, 418.26, 1.911, 99.90, 99.90
12.89, 419.20, 1.911, 99.90, 99.90
12.56, 420.14, 1.911, 99.90, 99.90
12.22, 421.08, 1.911, 99.90, 99.90
11.89, 422.02, 1.911, 99.90, 99.90
11.56, 422.96, 1.911, 99.90, 99.90
11.22, 423.91, 1.911, 99.90, 99.90
10.89, 424.85, 1.911, 99.90, 99.90
10.56, 425.79, 1.901, 99.90, 98.92
10.24, 426.73, 1.891, 99.90, 98.92
9.93, 427.68, 1.891, 99.90, 99.90
9.88, 428.45, 1.391, 99.90, 49.85
10.06, 429.43, 1.391, 99.90, 99.90
10.23, 430.41, 1.391, 99.90, 99.90
10.41, 431.40, 1.391, 99.90, 99.90
10.59, 432.38, 1.391, 99.90, 99.90
10.77, 433.36, 1.391, 99.90, 99.90
10.95, 434.34, 1.391, 99.90, 99.90
11.13, 435.33, 1.391, 99.90, 99.90
11.31, 436.31, 1.391, 99.90, 99.90
11.49, 437.29, 1.391, 99.90, 99.90
11.66, 438.28, 1.391, 99.90, 99.90
11.84, 439.26, 1.391, 99.90, 99.90
12.02, 440.24, 1.391, 99.90, 99.90
